Player,First Event Date,Latest Event Date,Latest JPAR Out,Total Events,Ave Weighted JPAR Contribution,Ave Competition Strength,12-Month Avg Completion Time
Miriam Vereda Aranda,11/16/2024,11/16/2024,0.9814992369,1,0.75,0.8597844945,147.1
Lillian Rowlatt,2/22/2025,2/22/2025,0.9816550423,1,0.5,0.8979381748,76.18333333
Catherine Luniewski (Cat),1/28/2025,1/28/2025,0.9816681905,1,0.25,0.7498627547,98.28333333
Michelle Parsons,6/21/2024,1/4/2025,0.981694794,2,0.375,0.9029561055,106.45
Patty Horn,1/26/2025,1/26/2025,0.9817235945,1,1,0.8124605919,107.6166667
Maggie Lee Post,11/16/2024,11/16/2024,0.9821178269,1,0.75,0.8099387889,108.2833333
Anne Gloutnay,11/9/2024,2/22/2025,0.982188792,4,0.5,0.837823412,103.0166667
Mallory Roy,5/11/2024,2/8/2025,0.9821986677,9,0.3055555556,0.8506419311,91.38333333
Gabrielle Moffat,9/18/2024,12/7/2024,0.9823222358,2,0.75,0.7484245839,90.3
Anna Mayo,12/7/2024,12/7/2024,0.9823242053,1,0.75,0.6626130003,106.95
Christine Durkin,6/1/2024,1/27/2025,0.9825565152,6,0.4642857143,0.8482478675,97.95952381
Jo Perrin,12/7/2024,12/7/2024,0.9826303683,1,0.75,0.6626130003,106.9833333
Pam Walls,9/14/2024,10/26/2024,0.9832071546,3,0.5,0.8809918587,109.16
Aracely Lopez,3/22/2024,3/22/2024,0.9836186173,1,0.75,0.8680353545,93.68333333
Engy Hamdy Emam,7/20/2024,7/20/2024,0.9839349286,1,0.75,#NUM!,219.7802198
Jasmine Sahlén,3/9/2024,3/9/2024,0.9839824512,1,0.75,0.6669417255,92.93333333
Jessica Goldsby,4/20/2024,11/23/2024,0.9841299831,3,0.3333333333,0.8776389759,113.1761501
Jesús Álvarez-Ossorio García de Soria,6/15/2024,9/18/2024,0.9846380574,2,0.6875,0.9340314132,109.7067128
Lexi Roberts,6/21/2024,9/14/2024,0.9848149278,3,0.3333333333,0.8748353865,98.77777778
Mette Hedegaard Pekruhn,6/1/2024,6/1/2024,0.985307191,1,0.75,0.6873398164,108.1166667
Laura Daniela Castellanos Trujillo,7/26/2024,1/2/2025,0.9855594726,2,0.75,#NUM!,183.5022849
Natalia Rodríguez Fandiño,7/26/2024,7/26/2024,0.9860834142,1,0.75,#NUM!,168.9189189
Mª de los Ángeles Riaño Irazábal,6/15/2024,7/6/2024,0.9862148315,2,0.75,0.8451336158,137.5556122
Noelia Díaz Crespo,6/15/2024,11/16/2024,0.9862471232,3,0.75,0.8549835599,138.7381944
Wendy Schneider,12/17/2024,2/8/2025,0.986266863,2,0.5,0.7586889083,87.31666667
Lauren Venell,8/30/2024,8/30/2024,0.9863489676,1,0.5,1.058698114,93.4
Sandra Wong,12/7/2024,12/7/2024,0.9866104882,1,0.75,0.6626130003,107.4166667
Annicette Gilliam,7/13/2024,7/13/2024,0.9866790795,1,0.75,0.9564815336,95.36666667
Malin Sjödin,3/9/2024,3/9/2024,0.9869823977,1,0.75,0.6669417255,93.21666667
Milla Kallioniemi,5/18/2024,9/18/2024,0.9871493479,2,0.75,0.8456079285,139.9817766
Rachel Ruble,9/14/2024,11/9/2024,0.9872718539,3,0.25,0.8496043476,94.04444444
Alicia Tudela Soriano,11/23/2024,11/23/2024,0.987350506,1,0.75,0.8105910354,179.1044776
Melania Fernández Escaño,11/16/2024,11/16/2024,0.9873931253,1,0.75,0.8597844945,147.9833333
Roberta Debiazi,9/19/2024,1/2/2025,0.9874244556,3,0.75,0.8958523953,129.6923077
Christopher Davis,4/20/2024,4/20/2024,0.9874316112,1,0.5,0.8970621609,149.6259352
Bryanna Storey,10/18/2024,10/18/2024,0.9875039597,1,0.5,0.936659951,96.13333333
Carol Chiu,12/7/2024,12/7/2024,0.987682059,1,0.75,0.6626130003,107.5333333
Anne Benoît,12/12/2024,12/12/2024,0.9877695638,1,0.25,0.7768689807,89
María Fernanda Ramírez Bernal,7/26/2024,7/26/2024,0.9883093361,1,0.75,#NUM!,169.3002257
Karen Washington,8/10/2024,8/10/2024,0.9883573132,1,0.75,0.8015661086,100.6
Tayla Bishop,12/7/2024,12/7/2024,0.9884474666,1,0.75,0.6626130003,107.6166667
Diana-Maria Gentz,9/18/2024,9/18/2024,0.9889592888,1,0.75,0.8181767181,83.7
Filippa Dorais,3/9/2024,3/9/2024,0.9892764744,1,0.75,0.6669417255,93.43333333
Gretchen Etzold,3/11/2024,3/11/2024,0.989422604,1,0.25,0.8033981888,96.95238095
Florina Turcu Turcu,3/16/2024,1/25/2025,0.9895246804,2,0.75,0.9384729212,168.9812893
Morgan Beeching,6/21/2024,6/21/2024,0.9899063257,1,0.5,0.9335207848,111.6833333
May Tam,8/3/2024,2/8/2025,0.9901242437,3,0.4166666667,0.8882555305,106.5222222
Lynette Zamora,6/8/2024,6/8/2024,0.9902371193,1,0.25,0.855120789,76.9
Elizabeth Ong,7/20/2024,7/20/2024,0.9903348214,1,0.75,0.82879534,116.7333333
Delaney Benoit,5/4/2024,5/4/2024,0.990398709,1,0.75,0.9601581251,86.21666667
Lina Sakalavičiūtė,1/23/2025,1/23/2025,0.9905362357,1,0.25,0.7084172973,115.2666667
Emily Blackwell-Swift,3/9/2024,10/19/2024,0.9905535211,4,0.25,0.8573515835,98.26666667
Valerie Bennett,8/17/2024,8/17/2024,0.9907395923,1,0.25,0.8442310625,97.5
