Player,First Event Date,Latest Event Date,Latest JPAR Out,Total Events,Ave Weighted JPAR Contribution,Ave Competition Strength,12-Month Avg Completion Time
Katja Rasmussen,4/25/2024,12/17/2024,0.6981740338,5,0.45,0.7397297633,69.67
Mona-Lynn Courteau,7/20/2024,7/20/2024,0.6982115003,1,0.75,0.82879534,82.3
Kyle Sandberg,10/12/2024,10/12/2024,0.6984778799,1,0.75,0.7989872303,85.98333333
Regina Daneri Dalledonne,1/2/2025,1/2/2025,0.698559338,1,0.75,0.8596302889,141.6666667
Iva Kijevcanin,9/19/2024,9/21/2024,0.6987257468,3,0.9166666667,0.6085553264,71.36210986
Lea Bentlage,9/18/2024,9/18/2024,0.6988192472,1,0.75,0.8342361674,54.23333333
Jake Baker,12/7/2024,12/7/2024,0.6989702854,1,0.75,0.6626130003,76.1
Natasha Kristensen,6/1/2024,6/1/2024,0.6990209571,2,0.75,0.7123435415,73.83333333
Ellinor Lindseth Angen,9/18/2024,9/18/2024,0.6990340042,1,0.75,0.8342361674,54.25
Yuewen Chun,3/22/2024,1/26/2025,0.6991968432,5,0.8,0.7878314232,67.97666667
Mary Beth Harris,3/9/2024,2/8/2025,0.6993469921,5,0.5,0.8357736731,61.69666667
William Mauricio García Barrena,7/26/2024,7/26/2024,0.699929896,1,0.75,#NUM!,119.9
Tania Franco Franco,9/19/2024,9/19/2024,0.7000207355,1,0.75,0.7268214647,74.93333333
Soraya Hernández Moretón,5/4/2024,1/25/2025,0.7000984376,4,0.7222222222,0.8767094735,79.11666667
Sophie Foster,9/19/2024,9/19/2024,0.7001718027,1,0.75,0.8167563493,83.65
Emmie Lee,3/9/2024,2/8/2025,0.7002290384,21,0.3359375,0.8089515323,67.58550725
Carlos Mayoral Gómez,12/28/2024,12/28/2024,0.7003593484,1,0.75,0.8955293962,92.88333333
Rebeca Sánchez Maceiras,6/15/2024,2/23/2025,0.7003650084,3,0.7222222222,0.856801984,85.65555556
Márcia Silva,6/29/2024,6/29/2024,0.7004076655,1,0.75,0.9012923663,98.61666667
Katrin S.,4/16/2024,4/16/2024,0.7004349217,1,0.25,0.6470423881,57
Mariya Lyapeva,9/19/2024,9/21/2024,0.7008200448,3,0.85,0.6867686898,68.65666667
Andrea Gottlöber,9/19/2024,2/8/2025,0.7009490468,2,0.75,0.7739274144,64.90833333
Tiff Williams,11/2/2024,11/2/2024,0.7011679197,1,0.75,0.9382762615,76.58333333
Sabrina Hutchinson,5/4/2024,5/4/2024,0.7012836716,2,0.75,0.7723245805,63.625
Elizaveta Kulibaba,3/22/2024,3/22/2024,0.7013945327,2,0.875,0.7534385619,80.66666667
Christine Salahub,6/1/2024,6/1/2024,0.701397588,1,0.5416666667,0.8366920491,83.27
Gabrielle Delle,3/9/2024,3/9/2024,0.7014485581,2,0.75,0.6391880935,64.95
Stephanie Kipp,6/1/2024,6/1/2024,0.7014514896,2,0.75,0.7542256286,79.53244536
Jeanne Labonté,5/4/2024,5/4/2024,0.7015951654,1,0.75,0.8293087048,80.78333333
Sandra Nilsson,3/9/2024,3/9/2024,0.701811013,1,0.75,0.6669417255,66.28333333
Danielle Rodenroth,11/16/2024,11/16/2024,0.7018582531,1,0.75,0.8099387889,77.38333333
Pontus Andersson,3/9/2024,9/20/2024,0.7018845514,3,0.8,0.7265151605,72.36333333
Sabine Rousku,3/9/2024,3/9/2024,0.7019874804,1,0.75,0.6669417255,66.3
Helen Hu,3/9/2024,2/8/2025,0.7020164966,22,0.2661290323,0.8356876545,67.79652778
Fabiana Lang,1/23/2025,2/9/2025,0.7021238694,3,0.5833333333,0.7178537824,73.53888889
Ewa Siarkiewicz,1/23/2025,1/23/2025,0.7022265997,1,0.25,0.7084172973,81.71666667
Melissa Germait,1/4/2025,2/21/2025,0.7029802575,3,0.3333333333,0.9026303975,60.77222222
Stephanie Giesbrecht,2/8/2025,2/8/2025,0.7029936359,1,0.5,0.869217981,57.5
Jennifer Assmus,9/18/2024,9/18/2024,0.703329144,1,0.75,0.8342361674,54.58333333
Monika Zawisza,9/18/2024,9/18/2024,0.7035162049,1,0.75,0.7845964089,78.68333333
Camilla Albrigtsen,6/8/2024,6/8/2024,0.7036289988,1,0.75,0.8463480512,78.71666667
Luis Jesús Martínez Hernández,7/26/2024,1/2/2025,0.7038405028,2,0.75,#NUM!,124.5666667
Vincent Meers,9/19/2024,9/20/2024,0.7039850302,2,0.875,0.6867093227,62.38333333
María Paz Chaparro Nandar,7/26/2024,1/2/2025,0.7041815949,2,0.75,#NUM!,130.2666667
Danielle McGowan,12/7/2024,12/7/2024,0.7044812206,1,0.75,0.6626130003,76.7
Leonor Pinto,6/29/2024,6/29/2024,0.7045506887,1,0.75,0.9012923663,99.2
Julia Knorr,2/8/2025,2/8/2025,0.7046410826,1,0.75,0.828958652,64.96666667
Pedro Díaz Rodríguez,3/23/2024,3/23/2024,0.7047823891,1,0.75,0.816800205,111.4833333
Jasmine Butcher,3/2/2024,5/11/2024,0.7049080047,4,0.7,0.809656614,65.77333333
Bruna Fernandes,6/29/2024,6/29/2024,0.705024177,1,0.75,0.9012923663,99.26666667
Trish Doty,5/4/2024,2/8/2025,0.7050250151,14,0.3392857143,0.849472215,70.70714286
Mª Carmen Salas Gregorio,3/2/2024,2/8/2025,0.7050783487,8,0.7333333333,0.8686658976,96.98325807
Rosemary Dabbs,3/22/2024,3/22/2024,0.705159417,1,0.75,0.8868433426,98.46666667
Rosa F.,4/16/2024,5/16/2024,0.7052040663,3,0.25,0.6982771144,70.46666667
Cindy Zhou,6/1/2024,10/26/2024,0.705427243,5,0.4,0.8956099079,63.43333333
Cecilia Siqueiros,11/2/2024,11/2/2024,0.7054405425,1,0.75,0.9382762615,77.05
Petter Lind,3/9/2024,3/9/2024,0.70575489,2,0.75,0.6387819343,66.24166667
Ulrike Kepplinger,9/18/2024,9/18/2024,0.7059005004,1,0.75,0.7845964089,78.95
Ben Scofield,7/6/2024,2/8/2025,0.705940235,5,0.3888888889,0.847346614,59.475
Ross Mansell,9/18/2024,9/18/2024,0.705977509,1,0.75,0.8181767181,59.75
Cristina Cabrera Clarisó,3/23/2024,9/20/2024,0.7061672884,4,0.78125,0.7407421038,74.26190476
Emily Boudreaux,3/9/2024,2/8/2025,0.7064252371,21,0.3409090909,0.8156035892,70.35793651
Maxine Dill,4/20/2024,4/20/2024,0.7066787469,1,0.5,0.8970621609,107.0833333
Joanne Lee,9/19/2024,9/19/2024,0.7068680064,1,0.75,0.8167563493,84.45
Milka Malvari,5/18/2024,5/18/2024,0.7070701781,1,0.75,0.8569796897,142.1800948
Sara Rickli Escudero,10/5/2024,2/8/2025,0.7073577763,2,0.75,0.7157998914,102.7764706
Scott Eng,3/9/2024,2/8/2025,0.7075259789,8,0.4166666667,0.8398814438,61.65416667
Ieva Opmane,9/18/2024,2/11/2025,0.7075954014,7,0.5357142857,0.7184431418,66.23809524
Dania Espinoza González,1/2/2025,1/2/2025,0.7075995176,1,0.75,0.8596302889,143.5
Tricia Hamilton,5/4/2024,2/8/2025,0.7077007505,4,0.5625,0.8435154431,84.84166667
Ellie Richardson,9/18/2024,9/18/2024,0.7077556624,1,0.75,0.7593381432,69.44444444
Christel P.,2/5/2025,2/5/2025,0.7080006109,1,0.25,0.819234645,67.41666667
Naomi Ruys,12/7/2024,12/7/2024,0.7080020959,1,0.75,0.6626130003,77.08333333
Netanya Roden,1/26/2025,1/26/2025,0.7082032682,1,1,0.8124605919,77.63333333
Joanne Rakotoarisoa,9/19/2024,9/19/2024,0.7084441681,1,0.75,0.8013138705,59.55
Darya Leylian,3/9/2024,2/8/2025,0.7086721765,19,0.314516129,0.8152013909,72.68492063
Theresa Klimek,9/19/2024,9/19/2024,0.7086815616,1,0.75,0.8167563493,84.66666667
Shelly Dyer,1/26/2025,1/26/2025,0.7091155095,1,1,0.8124605919,77.73333333
Léone Stoll,9/18/2024,9/18/2024,0.7091283152,1,0.75,0.8181767181,60.01666667
Anna Artyukhova,9/18/2024,9/21/2024,0.7092354663,3,0.9166666667,0.645164234,65.92454241
Taylor Payne,1/26/2025,1/26/2025,0.7094195899,1,1,0.8124605919,77.76666667
Samantha Saake,5/11/2024,2/8/2025,0.7094353786,18,0.3055555556,0.8097770292,67.92962963
Jamie Marsigit,5/4/2024,9/27/2024,0.7095752589,2,0.625,0.7928655361,83.975
Monika Snajdarkova,5/4/2024,5/4/2024,0.7098771572,2,0.75,0.7723245805,66
Ruth Milena Martínez Parra,7/26/2024,1/2/2025,0.7100666771,3,0.75,#NUM!,101.45
Mª del Pilar Pérez Carmona,11/16/2024,11/16/2024,0.7102918319,1,0.6875,0.8597844945,86.9
Shannon O'Hara,3/9/2024,2/21/2025,0.7104679935,4,0.45,0.9020315981,73.35
Amanda Lee,12/7/2024,12/7/2024,0.7104813863,1,0.5,0.7871693067,67.4
Kholoud Kandil,7/20/2024,7/20/2024,0.7106196706,1,0.75,#NUM!,158.7301587
Lamyaa Hassan,7/20/2024,7/20/2024,0.7106196706,1,0.75,#NUM!,158.7301587
Becky Leach,5/4/2024,5/4/2024,0.7108577637,1,0.75,0.8293087048,81.64166667
Chieh Pan,3/22/2024,3/22/2024,0.7110078956,1,0.75,0.8868433426,99.28333333
Bruno Rodríguez Del Pino,6/15/2024,6/15/2024,0.7112220382,1,0.75,0.8884098359,98.83333333
Sylvia Sapun,10/5/2024,10/5/2024,0.7112249581,1,0.75,0.6850588247,134.7305389
Betsy Parker,3/9/2024,10/12/2024,0.7113286668,5,0.3875,0.8218193255,73.06458333
Susanne Wessely,6/1/2024,2/16/2025,0.7113675553,17,0.3235294118,0.7931285227,67.83227186
Miriam Friedl,2/8/2025,2/8/2025,0.7115865631,1,0.75,0.7713452224,69.96666667
Patrick Madigan,3/22/2024,11/2/2024,0.7116018301,2,0.75,0.8809597466,78.16666667
Clementine Hauret,6/1/2024,10/19/2024,0.7117714705,2,0.25,0.8252012528,61.10833333
Giselle Courteau,5/4/2024,11/23/2024,0.7117725505,6,0.5,0.8255164305,100.2027778
Lindsey Anderson,3/22/2024,9/7/2024,0.7118388905,2,0.75,0.9007453928,97.35
Carrie Grose,10/19/2024,1/4/2025,0.7118391156,3,0.4166666667,0.8887491086,74.45
Nadja Rode,2/8/2025,2/8/2025,0.7118718787,1,0.75,0.828958652,65.63333333
Stephanie Maryon,4/20/2024,4/20/2024,0.7120682035,1,0.5,0.8970621609,107.9
Heather Lee,7/14/2024,1/26/2025,0.712218377,3,0.75,0.7959177378,93.24444444
Jannike Bertilsson,3/9/2024,3/9/2024,0.712601279,2,0.75,0.6387819343,67.18333333
Christina Wirtz,9/19/2024,2/8/2025,0.7127261091,2,0.75,0.7863295465,66.60833333
Brooke Ouro-Djobo,8/10/2024,2/8/2025,0.7127957636,6,0.3333333333,0.8510413199,66.31944444
Tess McLaughlin,12/7/2024,12/7/2024,0.7132068681,1,0.75,0.6626130003,77.65
David Telintelo,10/12/2024,2/8/2025,0.7132642251,3,0.4166666667,0.8502642052,71.63333333
Alix McCrea,2/8/2025,2/8/2025,0.713281624,1,0.75,0.7713452224,70.13333333
Lisa Rodenkirchen,10/12/2024,1/26/2025,0.7133527435,3,0.6666666667,0.7675219886,84.81666667
Cristina Martín López,6/15/2024,9/19/2024,0.7134861601,2,0.75,0.8448618532,79.35
Adele Arthur,9/19/2024,12/7/2024,0.7136720707,2,0.75,0.7396846748,83.51666667
Rita Loeffler,6/21/2024,11/9/2024,0.713710371,2,0.375,0.8913652459,66.98333333
Janey Drury,7/28/2024,12/17/2024,0.7137254587,8,0.25,0.7907372712,62.01458333
Beatrice Korsnes,3/9/2024,3/9/2024,0.7137705005,1,0.75,0.6661294073,70.06666667
Heavenly Moriceau,9/19/2024,9/19/2024,0.7139959276,1,0.75,0.8013138705,60.01666667
Kristy Bagley,10/4/2024,10/4/2024,0.7141163023,1,0.5,0.868085576,64.55
Elizabeth Forsyth,3/9/2024,2/8/2025,0.7141372198,23,0.328125,0.8157087489,70.462
Kate Rutter,5/4/2024,5/4/2024,0.7142366343,1,0.75,0.8293087048,77.45833333
Rachel VanDenBrink,6/21/2024,6/21/2024,0.7142511692,1,0.5,0.9335207848,80.58333333
Antonio Jonay Herrera Macau,6/15/2024,9/19/2024,0.7143063285,2,0.75,0.8076156503,89.93333333
Walaa Fekry Abo Zeid,7/20/2024,7/20/2024,0.7143995625,1,0.75,#NUM!,159.5744681
David Santiago Fonseca Rodríguez,1/2/2025,1/2/2025,0.7144207441,1,0.75,0.8596302889,144.8833333
Lauren Chodas,5/4/2024,5/4/2024,0.7144505403,1,0.75,0.8398926475,118.4
Katie Ruberg,1/4/2025,2/8/2025,0.7145263365,2,0.25,0.8759026926,62.3
Erik Greijdanus,4/16/2024,2/11/2025,0.7147623948,4,0.5625,0.7028275015,62.12916667
Mette Theilgaard,6/1/2024,6/1/2024,0.714880697,2,0.75,0.7123435415,75.675
Agata Banaś,9/18/2024,2/16/2025,0.7149753156,3,0.55,0.7968416985,64.38888889
Conny Spreitzer,4/25/2024,7/3/2024,0.715047218,7,0.25,0.7691590607,64.90952381
Martha Klimek,9/19/2024,2/8/2025,0.7152407815,3,0.75,0.7525726392,85.71055245
Melissa Cody,9/19/2024,1/26/2025,0.7152799127,3,0.8333333333,0.8079044171,71.16111111
Tanja B.,7/3/2024,7/3/2024,0.7153404951,1,0.25,0.8225784456,59.1
Élodie Serrano,7/28/2024,7/28/2024,0.7155108669,1,0.25,0.8408297015,58.56666667
Aleksandra Gorczynska,9/18/2024,9/18/2024,0.715626853,1,0.75,0.8181767181,60.56666667
Amanda Egeskov Hald,9/1/2024,9/1/2024,0.7157059274,1,0.25,0.8652834271,60.53333333
Isabelle Gagnon,10/19/2024,10/19/2024,0.7157277597,1,0.25,0.8032310537,65.38333333
Laura Erickson,10/12/2024,1/26/2025,0.7159773957,2,0.875,0.8057239111,83.95833333
Luis Fernández Fornos,6/29/2024,1/18/2025,0.7161781643,2,0.75,0.8456705836,94.025
Johanna Weissenborn,5/4/2024,11/9/2024,0.7162417938,3,0.5833333333,0.9095725335,110.3666667
Kaylee Kress,9/7/2024,9/7/2024,0.7162640392,1,0.75,0.9146474431,96.53333333
Mette Nielsen,6/1/2024,6/1/2024,0.7163924617,2,0.75,0.7123435415,75.9
Ramona Ackermann,9/19/2024,2/16/2025,0.7165699969,11,0.5227272727,0.712937657,75.07008413
Geanina Vladila Vlădilă,12/28/2024,12/28/2024,0.7165776841,1,0.625,0.8955293962,92.7
Urszula Skierniewska,9/18/2024,9/18/2024,0.7166440775,1,0.75,0.8342361674,55.61666667
Melisa McCarthy,12/7/2024,12/7/2024,0.7167277434,1,0.75,0.6626130003,78.03333333
Chelsey Perdue,12/7/2024,12/7/2024,0.7167277434,1,0.75,0.6626130003,78.03333333
Tina Loges,10/5/2024,10/5/2024,0.7167499627,1,0.75,0.6850588247,173.0769231
Mary Sharp,11/16/2024,2/8/2025,0.7168116017,2,0.5,0.844676374,66.55833333
Amy Coenen,9/7/2024,9/7/2024,0.7171466749,1,0.4166666667,0.9216968549,66.72777778
Sara Ericson Östmark,3/9/2024,3/9/2024,0.7171496586,2,0.75,0.6387819343,67.05833333
Charlee Friesen,5/4/2024,9/18/2024,0.7172362056,4,0.75,0.7985860279,61.99583333
Danika Dorris,2/8/2025,2/8/2025,0.7175923287,1,0.25,0.879413959,54.35
Jessica Osburn,3/9/2024,11/16/2024,0.7177490525,4,0.75,0.7832041743,68.975
Nel Le,12/7/2024,12/7/2024,0.7177993141,1,0.75,0.6626130003,78.15
Aroa San Álvaro Gismero,12/28/2024,12/28/2024,0.7178274893,1,0.75,0.8955293962,95.2
Cosima Ehret,2/8/2025,2/8/2025,0.7178372855,1,0.75,0.828958652,66.18333333
Kelley Vallecillo,3/9/2024,11/9/2024,0.7179124293,3,0.4166666667,0.8247244024,65.06
Wies van Keulen,2/5/2025,2/16/2025,0.7179535037,2,0.25,0.8128304092,62.80833333
Dakota Scully,2/21/2025,2/21/2025,0.7180459799,1,0.5,0.9560858073,65.66666667
Emma Liljekvist,3/9/2024,3/9/2024,0.718222485,1,0.75,0.6669417255,67.83333333
Amy Burgess,1/26/2025,1/26/2025,0.7183899619,1,1,0.8124605919,78.75
Sergio Mayoral Escudero,6/15/2024,12/28/2024,0.7186208557,2,0.6666666667,0.891969616,101.8833333
Andrea Boughey,9/19/2024,9/20/2024,0.7188001849,2,0.8,0.7062163208,80.14666667
Eduardo Palacios Horcajada,1/25/2025,1/25/2025,0.7189169174,1,0.625,0.9231612522,103.4333333
Megan Bailey,3/2/2024,2/8/2025,0.7189482339,18,0.3295454545,0.8663131032,73.2
Joshua Eaton,8/17/2024,2/8/2025,0.7189634664,8,0.3125,0.8816408694,69.05416667
Madara Stacevica,4/16/2024,9/20/2024,0.718991081,3,0.6666666667,0.6734870112,61.53888889
Quynh-Anh Vu,2/1/2025,2/1/2025,0.7191276723,1,0.5,0.9322869062,87.73333333
Sophie 12,7/28/2024,7/28/2024,0.7191759766,1,0.25,0.8408297015,58.86666667
Ana Llanos Fernández,6/15/2024,11/16/2024,0.7194061795,4,0.7083333333,0.8794123778,90.15
Heather Robles,11/2/2024,11/2/2024,0.7194791602,1,0.75,0.9382762615,78.58333333
Eli Maravich,1/10/2025,1/10/2025,0.7196988674,1,0.5,0.9264999543,66.1
Radka Dancikova,1/28/2025,1/28/2025,0.7198123208,1,0.25,0.7498627547,72.06666667
Lauren Lau,7/13/2024,11/16/2024,0.7198866722,2,0.5833333333,0.8832101613,75.05833333
Thomas Clarke,8/30/2024,8/30/2024,0.720048827,1,0.5,1.058698114,68.18333333
Mai Elgendy,7/20/2024,7/20/2024,0.7201454035,1,0.75,#NUM!,160.8579088
Stephen Hall,1/4/2025,1/4/2025,0.7202668033,1,0.25,0.8723914262,76.48333333
Sébastien Sergenton,9/19/2024,9/19/2024,0.7203407956,1,0.75,0.8013138705,60.55
Kirsty Weitzel,5/4/2024,2/8/2025,0.7205170527,12,0.3333333333,0.8119473646,73.04444444
Laura Wheatman,12/25/2024,1/26/2025,0.7205681911,2,0.625,0.7517893677,83.73333333
Mafalda Avelino,6/29/2024,6/29/2024,0.7206492931,1,0.75,0.9012923663,101.4666667
Sandra Scherrer,1/28/2025,2/11/2025,0.7207700511,2,0.25,0.7607184296,68.125
Ana Ortega Palma,6/15/2024,6/15/2024,0.7208169392,1,0.75,0.8884098359,100.1666667
Elizabeth Ady,11/2/2024,11/2/2024,0.7210050969,1,0.75,0.9382762615,78.75
Anna Magagni,9/19/2024,9/19/2024,0.7210974393,1,0.75,0.8167563493,86.15
Maggie,4/16/2024,4/25/2024,0.7213394627,2,0.25,0.6780672814,59.75833333
Shawna Fox,8/3/2024,8/3/2024,0.7214190695,1,0.75,0.9129612063,87.88333333
Erin Sweeney,3/2/2024,2/21/2025,0.7214266586,9,0.5454545455,0.8574006253,72.60925926
Franziska Heck,9/19/2024,2/8/2025,0.7216611098,3,0.75,0.7577201321,104.4172772
Emily Nguyen,2/1/2025,2/1/2025,0.7217233079,1,0.5,0.9322869062,88.05
Cátia Bértolo Das Neves,6/29/2024,6/29/2024,0.7220271444,1,0.625,0.9012923663,98.8
Merola Maged Mounir,7/20/2024,7/20/2024,0.7220812782,1,0.75,#NUM!,161.2903226
Kate Ragan,2/1/2025,2/1/2025,0.7221331451,1,0.5,0.9322869062,88.1
Wrigley Kline,1/4/2025,1/11/2025,0.7221550199,2,0.25,0.8676523331,71.5
Stephanie O'Dell,4/13/2024,12/7/2024,0.722381649,3,0.46875,0.8278283488,72.86666667
Rebecca G,6/21/2024,6/21/2024,0.7226715036,1,0.5,0.9335207848,81.53333333
Hannah Potter,12/7/2024,12/7/2024,0.7228510047,1,0.75,0.6626130003,78.7
Krisy Kopp,12/7/2024,12/7/2024,0.7229334988,1,0.25,0.8505424754,57
Julia Rowling,7/20/2024,7/20/2024,0.7230971269,1,0.75,0.82879534,85.23333333
Shawna Gibbs,3/23/2024,12/7/2024,0.7231873474,8,0.5625,0.893536685,77.28333333
Rosa Ana Segui Ortín,3/23/2024,2/8/2025,0.7235959265,6,0.75,0.8263745713,126.5674
Kelli Ryan,3/22/2024,11/2/2024,0.7235961211,2,0.75,0.912559802,90.60833333
Nana Strandby Lambert,6/1/2024,6/1/2024,0.7236020422,2,0.75,0.7400115017,70.53333333
Claudia Fiderer,10/5/2024,2/8/2025,0.7236787468,2,0.75,0.7570087383,101.9184049
Emily Ganser,3/22/2024,3/22/2024,0.7237773772,2,0.875,0.7440345679,71.43333333
Hagar Ahmed Mohamed Mekkawy,7/20/2024,7/20/2024,0.7240275889,1,0.75,#NUM!,161.7250674
Zhenwei Gu,9/19/2024,9/21/2024,0.7241852731,3,0.9166666667,0.6333861283,68.9967433
Andrew Nichols,7/13/2024,9/18/2024,0.7243207877,2,0.75,0.8953588505,63.99166667
Sonja Barthelmes,9/19/2024,2/8/2025,0.7246718,2,0.75,0.7778900583,76.96666667
Sabrina Monserate-Lindsay,9/14/2024,2/8/2025,0.7247669481,12,0.3125,0.8543412999,70.14166667
Megan Heywood,9/7/2024,9/7/2024,0.7247968809,1,0.75,0.9146474431,97.68333333
Melinda Snyder,5/4/2024,11/9/2024,0.7251268891,2,0.65,0.8785631554,100.175
Kristen Howell,3/9/2024,2/1/2025,0.7253567822,8,0.3333333333,0.8197610113,81.76666667
Caitlyn McMahan,8/17/2024,8/17/2024,0.725364156,1,0.25,0.8442310625,65.58333333
Marlin Elle,6/8/2024,9/19/2024,0.725369006,2,0.75,0.8315522003,82.40833333
Cindy Markison,10/12/2024,2/8/2025,0.7253784387,6,0.3333333333,0.8463530671,64.72777778
Fernando Gimeno Moliner,10/19/2024,10/19/2024,0.7254654505,1,0.75,0.8700929666,141.8333333
Montserrat Cortés Valdés,3/23/2024,2/8/2025,0.725673153,6,0.725,0.8215557805,109.6657798
Inga S.,1/28/2025,2/11/2025,0.7257126746,3,0.25,0.7802238347,71.46666667
Alexandra Hafford,9/14/2024,2/8/2025,0.725819034,6,0.25,0.8585268173,66.19166667
Natalie Kuhlmann,9/1/2024,2/9/2025,0.7258925007,5,0.55,0.759904107,81.32472637
Fatma Abdulrahman,7/20/2024,7/20/2024,0.7259844203,1,0.75,#NUM!,162.1621622
Reem Abuzahra,7/20/2024,7/20/2024,0.7259844203,1,0.75,#NUM!,162.1621622
Jummana Wael,7/20/2024,7/20/2024,0.7259844203,1,0.75,#NUM!,162.1621622
Anna Ivarsson,3/9/2024,3/9/2024,0.7259949239,1,0.75,0.6661294073,71.26666667
Clara Sanz Casadesus,5/4/2024,6/15/2024,0.7260464917,2,0.75,0.8747202372,97.44166667
Vanessa Miravet Fortuño,10/19/2024,10/19/2024,0.7260621906,1,0.75,0.8700929666,141.95
Silke Schleiff,9/18/2024,2/8/2025,0.7263482488,2,0.75,0.8315974097,62.78333333
Maighdlin Reid,12/7/2024,12/7/2024,0.72637188,1,0.75,0.6626130003,79.08333333
Kara Bingham,3/22/2024,1/27/2025,0.7263840826,4,0.6,0.8358684665,90.74
Elena González Álvarez,6/15/2024,6/15/2024,0.7268094557,1,0.7142857143,0.8148414209,86.38888889
Matt Anderson,6/21/2024,6/21/2024,0.7269555333,1,0.5,0.9335207848,82.01666667
Paul Gonzalez,9/18/2024,9/18/2024,0.7270485254,1,0.75,0.8181767181,61.53333333
Linn Merethe Danielsen,4/16/2024,9/20/2024,0.7275315594,12,0.515625,0.7542832419,83.49746323
Raquel Romera Ruiz,6/15/2024,6/15/2024,0.7276533062,1,0.75,0.8884098359,101.1166667
Elena Sobrado Fernández,6/15/2024,6/15/2024,0.7276533062,1,0.75,0.8884098359,101.1166667
Victoria Clifford,6/13/2024,9/19/2024,0.7276856751,2,0.65,0.7460627998,76.16068027
Anni Valkola,5/18/2024,5/18/2024,0.7277649151,1,0.75,0.8569796897,146.3414634
Eva Bindewald,2/8/2025,2/9/2025,0.7277680607,2,0.75,0.6937653102,80.25444564
Katja Go,12/7/2024,12/7/2024,0.7279026954,1,0.75,0.6626130003,79.25
Christelle Persault,9/19/2024,9/19/2024,0.7279331473,1,0.75,0.8167563493,86.96666667
Federico Javier Chacón Pedraza,7/26/2024,1/2/2025,0.7282501101,2,0.75,#NUM!,130.1
Heather Rohe,1/26/2025,1/26/2025,0.7284246153,1,1,0.8124605919,79.85
Kamerine Gardam,9/14/2024,9/14/2024,0.7286109223,1,0.5,0.8367423413,82.3
Phoebe Ryan,12/7/2024,12/7/2024,0.728668103,1,0.75,0.6626130003,79.33333333
Camila Sayuri Matsubarra,9/19/2024,9/19/2024,0.728669271,1,0.75,0.7268214647,78
Babette Jünemann,10/5/2024,2/8/2025,0.728794509,2,0.75,0.7570087383,102.5819361
Sarah Eggerichs,3/9/2024,2/8/2025,0.7288485554,9,0.5555555556,0.8232238599,67.00925926
Katka Svensson,10/12/2024,1/26/2025,0.7288535389,2,0.875,0.8057239111,84.50833333
Lisa DePass,10/5/2024,10/5/2024,0.7288931166,1,0.5625,0.8476326119,91.10833333
Kaycee Turner,11/16/2024,11/16/2024,0.7289915273,1,0.75,0.8099387889,88.41666667
Ines Lewandrowski,9/18/2024,2/9/2025,0.7290225706,5,0.8,0.7077911674,80.41630348
Christian Palberg,9/18/2024,9/18/2024,0.7293147399,1,0.75,0.8342361674,56.6
Iris Álvarez Nieto,6/15/2024,6/15/2024,0.7295722864,1,0.75,0.8884098359,101.3833333
Tessa Melli,3/9/2024,2/8/2025,0.7297248122,7,0.3125,0.8531865959,71.60625
Ajda Mikec,11/23/2024,11/23/2024,0.7297444434,1,0.75,0.7202376004,79.01666667
Rebecca Starrett,9/19/2024,9/19/2024,0.7297467025,1,0.75,0.8167563493,87.18333333
Sabine Albani,9/19/2024,9/19/2024,0.7298580976,1,0.75,0.8013138705,61.35
Amira Kamal,7/20/2024,7/20/2024,0.7299299878,1,0.75,#NUM!,163.0434783
Laura Siehler,2/8/2025,2/8/2025,0.729948869,1,0.75,0.828958652,67.3
Carter Lennon,8/10/2024,2/8/2025,0.72998095,10,0.35,0.8499651169,67.11166667
Julieth Viviana Párraga Moya,1/2/2025,1/2/2025,0.7300355999,1,0.75,0.8596302889,148.05
Astrid R. Abildgaard,8/29/2024,8/29/2024,0.7303417678,1,0.25,0.8316191896,74.05
Makayla Malloy,4/13/2024,2/8/2025,0.7303770455,11,0.3333333333,0.8588403765,70.92727273
Delaney Osmond,1/26/2025,1/26/2025,0.730401138,1,1,0.8124605919,80.06666667
Victoria Chu,3/22/2024,11/16/2024,0.7304421694,2,0.75,0.8167910103,83.19166667
Eva Lesny,9/19/2024,2/9/2025,0.7304672426,4,0.75,0.6998527274,95.7327381
Ventsislav Atanasov,9/19/2024,9/19/2024,0.7306933523,1,0.75,0.7268214647,78.21666667
Eva Purcell Diez de Ulzurrun,6/15/2024,6/15/2024,0.7307463495,1,0.6875,0.8884098359,82.1
Magdalena,10/31/2024,10/31/2024,0.730879749,1,0.25,0.7759306018,66.38333333
Maria Endrinal,10/5/2024,10/5/2024,0.7309204185,1,0.75,0.6850588247,138.4615385
Iiris Holm,5/18/2024,9/20/2024,0.7309501593,3,0.8333333333,0.7434661117,95.97389046
Olga,2/16/2025,2/16/2025,0.7310420053,1,0.25,0.8064261734,54.76666667
Susie Cassel,2/1/2025,2/1/2025,0.7312861758,1,0.5,0.9322869062,89.21666667
Fung Sai Lee,9/19/2024,12/7/2024,0.7314092217,2,0.75,0.8320061126,77.12442405
Chris Henderson,12/7/2024,12/7/2024,0.7314235706,1,0.75,0.6626130003,79.63333333
Sanna Lundberg,3/9/2024,3/9/2024,0.7314752705,2,0.75,0.6387819343,69.46666667
Lauren Schmidt,9/7/2024,9/7/2024,0.7315984213,1,0.75,0.9146474431,98.6
